epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,5354.25,1.11301,0.68673,1.01724,0.80769,0.74601,0.79438,0.52621,1.38845,0.82543,1.12873,0.00011229,0.00011229,0.00011229
97,5409.57,1.09955,0.6772,1.01032,0.80262,0.75263,0.79662,0.52754,1.38295,0.8182,1.12953,0.000104537,0.000104537,0.000104537
98,5465.31,1.09398,0.67554,1.00643,0.81713,0.75125,0.79374,0.52886,1.37324,0.82036,1.12829,9.70575e-05,9.70575e-05,9.70575e-05
99,5520.42,1.08487,0.66835,1.00884,0.81189,0.74529,0.78655,0.5278,1.37282,0.81454,1.12577,8.98581e-05,8.98581e-05,8.98581e-05
100,5576.32,1.06989,0.66125,1.00272,0.78691,0.76302,0.79332,0.53134,1.38788,0.81713,1.13188,8.29431e-05,8.29431e-05,8.29431e-05
101,5631.29,1.08737,0.67572,1.00666,0.82832,0.74001,0.79341,0.5329,1.37558,0.80637,1.13162,7.63174e-05,7.63174e-05,7.63174e-05
102,5687.74,1.10328,0.6809,1.00974,0.82009,0.74294,0.79336,0.52991,1.37451,0.81057,1.12906,6.99855e-05,6.99855e-05,6.99855e-05
103,5743.6,1.0884,0.67668,1.00627,0.81538,0.7435,0.7901,0.52789,1.37649,0.81007,1.13217,6.39518e-05,6.39518e-05,6.39518e-05
104,5798.82,1.09381,0.67399,1.00641,0.81774,0.75062,0.79372,0.53023,1.36942,0.80407,1.12829,5.82203e-05,5.82203e-05,5.82203e-05
105,5854.97,1.08152,0.66196,1.00373,0.82114,0.75508,0.7957,0.53344,1.36857,0.80203,1.12824,5.2795e-05,5.2795e-05,5.2795e-05
106,5905,0.94845,0.55363,0.93873,0.80794,0.75612,0.79281,0.52813,1.35671,0.80057,1.12861,4.76796e-05,4.76796e-05,4.76796e-05
107,5955.66,0.9394,0.54714,0.93902,0.8138,0.75881,0.79126,0.52532,1.38137,0.81265,1.13557,4.28777e-05,4.28777e-05,4.28777e-05
108,6006.25,0.93614,0.54011,0.93705,0.81144,0.75426,0.79148,0.52919,1.36892,0.81043,1.13411,3.83925e-05,3.83925e-05,3.83925e-05
109,6056.23,0.9356,0.54219,0.93693,0.828,0.7444,0.79703,0.52937,1.36055,0.80173,1.1334,3.4227e-05,3.4227e-05,3.4227e-05
110,6106.2,0.94041,0.54496,0.93872,0.82907,0.7451,0.79658,0.53165,1.36242,0.8036,1.13224,3.03842e-05,3.03842e-05,3.03842e-05
111,6156.95,0.93268,0.53929,0.93688,0.83153,0.74413,0.79396,0.53299,1.35557,0.80397,1.13126,2.68667e-05,2.68667e-05,2.68667e-05
112,6206.72,0.93272,0.53832,0.93547,0.81774,0.75094,0.79618,0.53494,1.35612,0.80196,1.13032,2.36769e-05,2.36769e-05,2.36769e-05
113,6257.44,0.92427,0.53593,0.93555,0.83214,0.74533,0.79702,0.53655,1.35267,0.8013,1.1286,2.08169e-05,2.08169e-05,2.08169e-05
114,6308.24,0.93074,0.53584,0.93545,0.83225,0.74593,0.79555,0.53679,1.35828,0.79664,1.13137,1.82888e-05,1.82888e-05,1.82888e-05
115,6358.43,0.92457,0.53378,0.93382,0.83547,0.74905,0.79654,0.53604,1.34938,0.79873,1.12997,1.60943e-05,1.60943e-05,1.60943e-05
116,6409.1,0.92636,0.53473,0.93462,0.82921,0.74875,0.7995,0.5345,1.35374,0.79505,1.13121,1.42348e-05,1.42348e-05,1.42348e-05
117,6459.66,0.92157,0.53452,0.9342,0.82923,0.74774,0.79853,0.53357,1.3516,0.79644,1.1318,1.27117e-05,1.27117e-05,1.27117e-05
118,6509.64,0.92949,0.53481,0.93631,0.83249,0.75002,0.79667,0.53504,1.35231,0.79755,1.13102,1.15259e-05,1.15259e-05,1.15259e-05
119,6560.34,0.91953,0.53182,0.93217,0.83457,0.74977,0.79835,0.53635,1.35204,0.79457,1.13034,1.06784e-05,1.06784e-05,1.06784e-05
120,6611.12,0.92216,0.53262,0.93326,0.83704,0.74801,0.79825,0.53799,1.34972,0.79639,1.13031,1.01696e-05,1.01696e-05,1.01696e-05
